City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Taoudenni,ML,2021-11-02 01:35:42,22.6783,-3.9836,79.25,20,98,10.49
173,Parkes,AU,2021-11-02 01:35:42,-33.1333,148.1833,81.36,27,44,1.99
174,Santa Isabel,BR,2021-11-02 01:35:42,-23.3156,-46.2214,67.66,98,87,2.24
175,Mazatlan,MX,2021-11-02 01:31:31,23.2167,-106.4167,83.01,88,0,1.01
176,Cherskiy,RU,2021-11-02 01:35:43,68.75,161.3,-6.27,94,100,9.48
177,Poindimie,NC,2021-11-02 01:35:43,-20.9333,165.3333,76.96,52,59,11.3
178,Jacareacanga,BR,2021-11-02 01:31:19,-6.2222,-57.7528,71.04,98,100,1.57
179,Rostovka,RU,2021-11-02 01:35:43,55.3842,71.8891,10.26,75,26,11.81
180,Barrow,US,2021-11-02 01:35:44,71.2906,-156.7887,24.82,80,75,11.5
181,Saposoa,PE,2021-11-02 01:35:44,-6.934,-76.7716,79.41,77,62,2.77
182,Neuquen,AR,2021-11-02 01:35:44,-38.9516,-68.0591,67.89,60,0,4.61
183,Muros,ES,2021-11-02 01:35:45,42.7762,-9.0603,58.08,89,94,16.31
184,Medina Del Campo,ES,2021-11-02 01:35:45,41.3124,-4.9141,48.94,78,100,14.2
185,Marsa Matruh,EG,2021-11-02 01:36:45,31.3525,27.2453,62.8,77,0,5.75
186,Constantine,DZ,2021-11-02 01:36:46,36.365,6.6147,60.21,88,75,3.44
187,Krasnozerskoye,RU,2021-11-02 01:36:46,53.9828,79.2374,18.57,81,100,14.74
188,Ixtapa,MX,2021-11-02 01:33:16,20.7,-105.2,74.68,93,9,1.99
189,Kon Tum,VN,2021-11-02 01:36:47,14.35,108.0,79.12,65,96,4.43
190,Bayan,CN,2021-11-02 01:36:48,46.0833,127.4,42.01,61,10,4.59
191,Garowe,SO,2021-11-02 01:36:48,8.4054,48.4845,70.3,73,6,5.97
192,Novikovo,RU,2021-11-02 01:32:32,51.1537,37.8879,40.95,95,71,7.11
193,Mercedes,AR,2021-11-02 01:36:48,-34.6515,-59.4307,62.83,93,100,8.16
194,Mayo,US,2021-11-02 01:36:49,38.8876,-76.5119,51.67,83,1,0.0
195,Solnechnyy,RU,2021-11-02 01:36:49,50.7214,136.6319,38.52,39,7,4.27
196,Neiafu,TO,2021-11-02 01:36:49,-18.65,-173.9833,79.03,82,52,12.46
197,Hualmay,PE,2021-11-02 01:36:49,-11.0964,-77.6139,63.59,85,21,9.19
198,Umarizal,BR,2021-11-02 01:36:50,-5.9906,-37.8144,79.61,58,100,10.58
199,Tuatapere,NZ,2021-11-02 01:36:50,-46.1333,167.6833,52.83,53,84,11.54
200,Sumenep,ID,2021-11-02 01:36:50,-7.0167,113.8667,86.11,64,97,4.36
201,Altamira,BR,2021-11-02 01:36:51,-3.2033,-52.2064,73.85,92,98,2.37
202,Pontianak,ID,2021-11-02 01:36:51,-0.0333,109.3333,78.78,94,40,3.44
203,Itacoatiara,BR,2021-11-02 01:36:51,-3.1431,-58.4442,74.52,97,100,2.84
204,Alice Springs,AU,2021-11-02 01:34:23,-23.7,133.8833,76.55,61,75,9.22
205,Ngunguru,NZ,2021-11-02 01:36:52,-35.6167,174.5,67.15,61,24,15.46
206,Ormara,PK,2021-11-02 01:36:52,25.2088,64.6357,78.08,29,0,11.03
207,Villa Corzo,MX,2021-11-02 01:36:52,16.1667,-93.25,65.7,95,47,3.83
208,Sulina,RO,2021-11-02 01:36:52,45.1559,29.6536,52.03,90,97,1.92
209,Penzance,GB,2021-11-02 01:35:11,50.1186,-5.5371,49.77,69,89,16.87
210,General Roca,AR,2021-11-02 01:36:53,-39.0333,-67.5833,68.4,50,57,13.24
211,Dingle,PH,2021-11-02 01:32:29,10.9995,122.6711,82.83,79,95,14.0
212,Uklana Mandi,IN,2021-11-02 01:36:53,29.5023,75.8849,67.28,54,22,10.94
213,Altamont,US,2021-11-02 01:36:41,42.2068,-121.7372,48.04,88,90,3.44
214,Richards Bay,ZA,2021-11-02 01:36:54,-28.783,32.0377,69.58,85,51,22.84
215,Vilhena,BR,2021-11-02 01:36:54,-12.7406,-60.1458,68.95,94,100,1.16
216,Viedma,AR,2021-11-02 01:36:54,-40.8135,-62.9967,51.1,93,61,12.75
217,Senanga,ZM,2021-11-02 01:36:54,-16.1167,23.2667,73.54,55,55,5.3
218,Belogorsk,RU,2021-11-02 01:36:55,50.9158,128.4611,37.33,27,93,12.37
219,Fortuna,US,2021-11-02 01:31:39,40.5982,-124.1573,58.42,68,40,0.0
220,Ancud,CL,2021-11-02 01:36:55,-41.8697,-73.8203,49.53,88,100,17.02
221,Namatanai,PG,2021-11-02 01:36:55,-3.6667,152.4333,85.05,69,60,2.84
222,Saldanha,ZA,2021-11-02 01:36:56,-33.0117,17.9442,50.05,51,82,3.04
223,Mount Isa,AU,2021-11-02 01:36:56,-20.7333,139.5,92.97,38,1,16.11
224,Tahoua,NE,2021-11-02 01:36:56,14.8888,5.2692,80.53,18,90,8.48
225,Georgetown,MY,2021-11-02 01:36:57,5.4112,100.3354,80.89,90,20,5.01
226,Gao,ML,2021-11-02 01:36:57,16.6362,1.637,82.26,16,94,8.37
227,Clyde River,CA,2021-11-02 01:36:57,70.4692,-68.5914,16.66,92,100,9.37
228,Zhenlai,CN,2021-11-02 01:36:58,45.8495,123.2973,41.58,31,70,13.22
229,Balabac,PH,2021-11-02 01:36:58,7.9868,117.0645,83.14,80,100,16.22
230,Piacabucu,BR,2021-11-02 01:36:58,-10.4056,-36.4344,77.92,84,28,12.48
231,Fare,PF,2021-11-02 01:36:59,-16.7,-151.0167,79.84,79,7,12.5
232,Tabou,CI,2021-11-02 01:36:59,4.423,-7.3528,76.66,90,46,5.08
233,Sao Miguel Do Araguaia,BR,2021-11-02 01:36:59,-13.275,-50.1628,72.21,94,100,4.16
234,Mackay,AU,2021-11-02 01:38:00,-21.15,149.2,82.38,57,40,16.11
235,Dapaong,TG,2021-11-02 01:38:00,10.8639,0.205,77.22,51,44,2.26
236,Belyy Yar,RU,2021-11-02 01:38:00,53.6039,91.3903,39.09,62,0,17.9
237,Nanortalik,GL,2021-11-02 01:38:01,60.1432,-45.2371,38.43,73,100,11.97
238,Katsuura,JP,2021-11-02 01:38:01,35.1333,140.3,68.04,81,100,9.46
239,Touros,BR,2021-11-02 01:37:24,-5.1989,-35.4608,79.7,79,74,12.91
240,Pisco,PE,2021-11-02 01:37:00,-13.7,-76.2167,64.45,82,90,10.36
241,Turukhansk,RU,2021-11-02 01:38:02,65.8167,87.9833,-14.53,99,89,4.23
242,Borogontsy,RU,2021-11-02 01:38:03,62.6683,131.1683,20.71,92,100,9.75
243,Omboue,GA,2021-11-02 01:31:33,-1.5746,9.2618,73.13,95,90,3.8
244,East London,ZA,2021-11-02 01:36:38,-33.0153,27.9116,61.54,60,0,19.71
245,Nelson Bay,AU,2021-11-02 01:38:03,-32.7167,152.15,77.29,59,17,4.0
246,Kaitangata,NZ,2021-11-02 01:38:04,-46.2817,169.8464,53.98,50,94,15.9
247,Arman,RU,2021-11-02 01:38:05,59.7,150.1667,12.02,47,96,3.51
248,Vihari,PK,2021-11-02 01:38:05,30.0333,72.35,64.18,51,0,11.3
249,Mpika,ZM,2021-11-02 01:38:05,-11.8343,31.4529,62.04,81,35,3.24
250,Asyut,EG,2021-11-02 01:38:06,27.181,31.1837,66.38,44,0,5.75
251,Eskil,TR,2021-11-02 01:38:06,38.4017,33.4131,56.16,76,100,5.66
252,Horice,CZ,2021-11-02 01:38:06,50.3661,15.6318,47.52,95,100,3.33
253,Troitskoye,RU,2021-11-02 01:38:06,52.9821,84.6757,34.3,98,100,9.95
254,Lagoa,PT,2021-11-02 01:38:07,39.05,-27.9833,69.57,83,86,2.71
255,Homer,US,2021-11-02 01:38:07,59.6425,-151.5483,42.69,83,90,3.44
256,Tessalit,ML,2021-11-02 01:38:07,20.1986,1.0114,80.74,15,100,10.92
257,Monteagudo,BO,2021-11-02 01:38:08,-19.8167,-63.9833,69.69,81,100,2.33
258,Blagoyevo,RU,2021-11-02 01:38:08,63.3667,47.9167,21.7,81,54,7.52
259,Meiktila,MM,2021-11-02 01:38:08,20.8667,95.8667,77.4,76,15,4.61
260,Karratha,AU,2021-11-02 01:38:09,-20.7377,116.8463,79.02,37,0,11.65
261,Pizarro,CO,2021-11-02 01:38:09,4.9533,-77.366,76.57,82,26,3.69
262,Sibut,CF,2021-11-02 01:38:09,5.718,19.0739,69.75,97,100,0.81
263,Mount Gambier,AU,2021-11-02 01:38:09,-37.8333,140.7667,78.71,31,83,21.85
264,Rosignol,GY,2021-11-02 01:38:10,6.2833,-57.5333,76.53,87,63,4.14
265,Dali,CN,2021-11-02 01:38:10,25.7,100.1833,60.35,65,1,2.51
266,Antalaha,MG,2021-11-02 01:38:10,-14.9003,50.2788,73.33,92,38,1.32
267,Lunenburg,CA,2021-11-02 01:38:11,44.3835,-64.3155,47.41,87,0,10.4
268,Henties Bay,NA,2021-11-02 01:38:11,-22.116,14.2845,56.86,91,0,11.07
269,Kommunisticheskiy,RU,2021-11-02 01:38:11,61.6789,64.4819,7.61,92,8,5.5
270,Fairbanks,US,2021-11-02 01:35:14,64.8378,-147.7164,32.59,79,90,1.01
271,Sisimiut,GL,2021-11-02 01:38:12,66.9395,-53.6735,33.26,98,100,8.99
272,Banganapalle,IN,2021-11-02 01:38:12,15.3167,78.2333,75.33,83,100,4.21
273,Makat,KZ,2021-11-02 01:38:12,47.6469,53.3463,46.06,51,100,6.51
274,Hambantota,LK,2021-11-02 01:38:13,6.1241,81.1185,75.54,100,20,0.0
275,Khandbari,NP,2021-11-02 01:38:13,27.3747,87.2039,62.6,67,1,1.25
276,Norman Wells,CA,2021-11-02 01:38:13,65.282,-126.8329,23.04,93,75,4.61
277,Gorontalo,ID,2021-11-02 01:38:14,0.5412,123.0595,87.76,61,100,3.27
278,Codrington,AU,2021-11-02 01:38:14,-38.2667,141.9667,76.91,42,39,13.94
279,Matara,LK,2021-11-02 01:39:14,5.9485,80.5353,79.34,86,76,4.38
280,Roald,NO,2021-11-02 01:39:15,62.5833,6.1333,53.74,50,40,10.36
281,Requena,ES,2021-11-02 01:39:15,39.4883,-1.1004,57.13,77,95,15.55
282,Bonthe,SL,2021-11-02 01:39:15,7.5264,-12.505,77.5,84,100,2.86
283,La Palma,US,2021-11-02 01:39:15,33.8464,-118.0467,68.81,79,75,4.0
284,Ojinaga,MX,2021-11-02 01:39:16,29.5667,-104.4167,77.95,27,1,0.0
285,Port Elizabeth,ZA,2021-11-02 01:29:08,-33.918,25.5701,60.1,67,0,24.16
286,Thunder Bay,CA,2021-11-02 01:39:16,48.4001,-89.3168,32.99,90,20,6.91
287,Acari,PE,2021-11-02 01:39:16,-15.4311,-74.6158,69.01,73,28,2.1
288,Luderitz,NA,2021-11-02 01:39:17,-26.6481,15.1594,56.48,73,0,16.22
289,Sibolga,ID,2021-11-02 01:39:17,1.7427,98.7792,81.68,77,99,1.5
290,Nouadhibou,MR,2021-11-02 01:39:17,20.931,-17.0347,67.98,83,65,12.66
291,Khorramabad,IR,2021-11-02 01:39:18,33.4878,48.3558,56.61,39,20,1.57
292,Prykolotne,UA,2021-11-02 01:39:18,50.1604,37.3474,44.76,94,98,9.69
293,Sarangani,PH,2021-11-02 01:39:18,5.4033,125.4636,83.55,75,74,15.23
294,Buraydah,SA,2021-11-02 01:39:18,26.326,43.975,66.65,25,100,7.7
295,Bima,ID,2021-11-02 01:39:19,-8.4667,118.7167,91.38,56,88,1.92
